char,count
 ,276904
n,94101
à,59828
í,56975
l,48178
i,43919
á,41369
a,40588
ọ,39645
ì,38830
t,37119
r,36984
w,33204
k,32130
ó,27073
ú,25494
b,24480
o,23778
m,23718
j,23027
é,22396
ọ́,22366
d,22197
ò,20602
y,18964
ọ̀,18894
.,17513
ẹ̀,17450
gb,17375
ẹ́,16689
p,16535
s,16284
ṣ,15845
è,15623
f,14903
ẹ,12613
e,11743
ù,11106
u,10312
g,7469
ń,5499
",",3882
-,3763
h,3015
ǹ,1344
?,931
’,512
',332
m̀,316
ḿ,208
!,156
”,49
;,44
“,44
:,36
‘,34
"""",25
à̀,11
ẹ̣,10
́,10
í́,9
ì̀,8
̀,7
–,7
j́,7
 ,7
ọ̣,7
l̀,7
—,6
j̀,6
 ́,5
ĺ,4
á́,3
ạ̀,3
ụ́,3
ǵ,2
ỳ,2
(,2
),2
k̀,2
ạ́,2
à́,2
p̀,2
 ̀,2
ị̀,2
ị,2
ẁ,1
s̀,1
ó̀,1
ŕ,1
ṣ̀,1
ṣ̣,1
\,1
t́,1
é́,1
g̀,1
ò̀,1
¸,1
̂,1
ḷ,1
̣̀,1
í̀,1
.̀̀,1
r̀,1
ṣ́,1
̈,1
…,1
1,1
2,1
ḱ,1
ý,1
0,1
̧̣̀,1
ì́,1
è̀,1
ụ̀,1
