char,count
 ,95546
n,31524
à,20157
í,19493
l,15880
i,15257
á,14200
a,13664
ọ,13150
ì,12926
t,12857
r,12627
w,11253
k,10663
ó,9209
o,8701
ú,8506
m,8156
b,8126
d,7547
j,7524
é,7502
ọ́,7086
.,7075
ò,6816
y,6531
ọ̀,6327
ẹ̀,5904
gb,5848
p,5664
ẹ́,5528
s,5490
è,5455
ṣ,5420
f,4832
ẹ,4281
e,4221
u,3595
ù,3574
g,2353
ń,1970
",",1419
-,1188
h,1024
ǹ,504
?,394
m̀,132
',121
ḿ,86
_,70
!,57
’,46
3,39
"
",35
v,35
	,35
”,30
“,29
8,28
7,21
;,13
9,13
0,13
"""",12
:,11
1,11
4,4
5,4
6,4
‘,3
—,3
2,3
j̀,2
 ,2
–,1
ì̀,1
ŕ,1
ỳ,1
ṣ̀,1
ì́,1
ụ́,1
ạ́,1
ǵ,1
è̀,1
s̀,1
j́,1
 ́,1
ụ̀,1
̀,1
̄,1
́,1
