char,count
 ,394292
n,132989
í,84585
à,76987
a,68257
i,64156
l,63840
t,61132
r,60491
á,53850
ì,53826
w,43861
k,43078
ọ,40374
o,34761
ó,34392
ú,33544
s,31141
m,30440
b,30007
d,29959
j,28901
e,27712
ọ́,27018
ẹ̀,26846
y,26550
é,26292
ò,25639
p,25415
è,23447
ọ̀,22997
gb,22384
ṣ,22321
ẹ́,21716
",",20236
f,19989
.,19854
u,16155
ẹ,15312
ù,13846
-,13755
g,11256
h,9272
ń,8467
c,4625
0,2763
1,2576
2,2197
ǹ,1914
"""",1779
(,1772
),1768
v,1512
:,1502
?,1262
;,1165
9,1151
“,1123
z,899
”,852
5,680
3,657
8,646
4,556
!,525
6,463
’,451
7,444
',336
—,329
ọ̣,315
x,214
[,184
],176
–,172
q,147
​,135
̣,126
ẹ̣,125
‘,112
/,99
‐,97
̀,94
ṣ̣,89
#,78
́,70
$,55
̈,53
m̀,47
̣́,37
ḿ,36
̣̀,31
@,22
̂,22
*,21
 ,20
̃,20
…,19
 ́,17
⁠,16
ć,15
̆,14
ı,12
+,12
ụ́,11
í́,11
̧,10
€,10
ạ̀,9
ĺ,8
%,8
ž,8
 ̀,7
r̀,6
ì̀,6
ị̀,6
ṣ̀,6
&,5
|,5
t́,5
t̀,5
í̀,5
ụ̀,5
®,5
ø,5
̣̣̣,4
à̀,4
j́,4
ḱ,4
ẃ,4
j̀,4
\,4
á́,4
n̄,4
^,4
ạ́,4
š,4
̣̣,3
ẁ,3
ṛ,3
ṣ́,3
™,3
̣̣́,3
ì́,3
ś,3
à́,3
d́,3
ú́,3
s̀,3
<,3
ẉ,2
ạ,2
l̀,2
é́,2
ụ,2
ḷ,2
á̀,2
﻿,2
k̀,2
.̀,2
æ,2
=,2
ا,2
🤔,2
>,2
″,1
ị́,1
‎,1
.́,1
 ̣,1
武,1
汉,1
肺,1
炎,1
`,1
©,1
­,1
ń́,1
̦,1
ǵ,1
j́́,1
¸,1
3̣,1
ỳ,1
ò̀,1
ṭ,1
p̀,1
ý,1
ź,1
̇,1
 ̣̀,1
b́,1
g̀,1
ل,1
م,1
ر,1
ق,1
ب,1
ة,1
‪,1
‬,1
八,1
九,1
民,1
运,1
ɔ̣́,1
̨,1
ŕ,1
ṛ̣,1
ḷ̣,1
j̣́,1
‏,1
£,1
